minecraft:item_frame,_model__mc_block_item_frame
minecraft:acacia_button,_prefabs/_minecraft/misc/button.map
minecraft:acacia_door,_model__mc_block_acacia_door
minecraft:acacia_fence,_model__mc_block_fence_post_acacia
minecraft:acacia_fence_gate,_mc_block_acacia_planks
minecraft:acacia_leaves,_mc_block_acacia_leaves_forest
minecraft:acacia_log,_mc_block_acacia_log
minecraft:acacia_planks,_mc_block_acacia_planks
minecraft:acacia_pressure_plate,_model__mc_block_pressure_plate_acacia_up
minecraft:acacia_sapling,_mc_block_acacia_planks
minecraft:acacia_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:acacia_slab,_mc_block_acacia_planks
minecraft:acacia_stairs,_mc_block_acacia_planks
minecraft:acacia_trapdoor,_model__mc_block_acacia_trapdoor
minecraft:acacia_wall_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:acacia_wood,_mc_block_acacia_log
minecraft:activator_rail,_model__mc_block_activator_rail
minecraft:air,void
minecraft:allium,_model__mc_block_allium
minecraft:amethyst_block,_mc_block_amethyst_block
minecraft:amethyst_cluster,_mc_block_amethyst_block
minecraft:ancient_debris,_mc_block_ancient_debris_top
minecraft:andesite,_mc_block_andesite
minecraft:andesite_slab,_mc_block_andesite
minecraft:andesite_stairs,_mc_block_andesite
minecraft:andesite_wall,_mc_block_andesite
minecraft:anvil,_model__mc_block_anvil
minecraft:attached_melon_stem,_mc_block_melon_side
minecraft:attached_pumpkin_stem,_mc_block_pumpkin_side
minecraft:azalea,_mc_block_azalea_top
minecraft:azalea_leaves,_mc_block_azalea_leaves
minecraft:azure_bluet,_model__mc_block_azure_bluet
minecraft:bamboo,_mc_block_bamboo_stalk
minecraft:bamboo_sapling,_mc_block_bamboo_stalk
minecraft:barrel,_mc_block_barrel_side
minecraft:barrier,_model__mc_item_barrier
minecraft:basalt,_mc_block_basalt_side
minecraft:beacon,_mc_block_beacon
minecraft:bedrock,_mc_block_bedrock
minecraft:bee_nest,_mc_block_bee_nest_front
minecraft:beehive,_mc_block_beehive_front
minecraft:beetroots,_model__mc_block_crop_beetroot_stage3
minecraft:bell,_model__mc_block_bell
minecraft:big_dripleaf,_model__mc_block_big_dripleaf
minecraft:big_dripleaf_stem,_model__mc_block_big_dripleaf_stem
minecraft:birch_button,_prefabs/_minecraft/misc/button.map
minecraft:birch_door,_model__mc_block_birch_door
minecraft:birch_fence,_model__mc_block_fence_post_birch
minecraft:birch_fence_gate,_mc_block_birch_planks
minecraft:birch_leaves,_mc_block_birch_leaves_forest
minecraft:birch_log,_mc_block_birch_log
minecraft:birch_planks,_mc_block_birch_planks
minecraft:birch_pressure_plate,_model__mc_block_pressure_plate_birch_up
minecraft:birch_sapling,_mc_block_birch_planks
minecraft:birch_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:birch_slab,_mc_block_birch_planks
minecraft:birch_stairs,_mc_block_birch_planks
minecraft:birch_trapdoor,_model__mc_block_birch_trapdoor
minecraft:birch_wall_sign,_prefabs/_minecraft/Misc/sign.map
minecraft:birch_wood,_mc_block_birch_log
minecraft:black_banner,_model__mc_block_banner_black
minecraft:black_bed,_model__mc_block_bed_black
